LOCATION,YEAR,MONTH,Cooling_degree_days,Anomaly
ALABAMA,1996,01,5,-6
ALABAMA,1996,02,3,-5
ALABAMA,1996,03,6,-26
ALABAMA,1996,04,19,-35
ALABAMA,1996,05,240,43
ALABAMA,1996,06,340,-38
ALABAMA,1996,07,439,-23
ALABAMA,1996,08,389,-62
ALABAMA,1996,09,209,-80
ALABAMA,1996,10,57,-28
ALABAMA,1996,11,5,-6
ALABAMA,1996,12,5,-2
ALABAMA,1997,01,9,-2
ALABAMA,1997,02,10,2
ALABAMA,1997,03,63,31
ALABAMA,1997,04,15,-39
ALABAMA,1997,05,108,-89
ALABAMA,1997,06,257,-121
ALABAMA,1997,07,458,-4
ALABAMA,1997,08,377,-74
ALABAMA,1997,09,282,-7
ALABAMA,1997,10,59,-26
ALABAMA,1997,11,1,-10
ALABAMA,1997,12,1,-6
ALABAMA,1998,01,16,5
ALABAMA,1998,02,5,-3
ALABAMA,1998,03,14,-18
ALABAMA,1998,04,31,-23
ALABAMA,1998,05,256,59
ALABAMA,1998,06,450,72
ALABAMA,1998,07,507,45
ALABAMA,1998,08,451,0
ALABAMA,1998,09,362,73
ALABAMA,1998,10,117,32
ALABAMA,1998,11,23,12
ALABAMA,1998,12,12,5
ALABAMA,1999,01,20,9
ALABAMA,1999,02,12,4
ALABAMA,1999,03,13,-19
ALABAMA,1999,04,102,48
ALABAMA,1999,05,158,-39
ALABAMA,1999,06,340,-38
ALABAMA,1999,07,476,14
ALABAMA,1999,08,508,57
ALABAMA,1999,09,248,-41
ALABAMA,1999,10,67,-18
ALABAMA,1999,11,14,3
ALABAMA,1999,12,3,-4
ALABAMA,2000,01,11,0
ALABAMA,2000,02,13,5
ALABAMA,2000,03,43,11
ALABAMA,2000,04,22,-32
ALABAMA,2000,05,267,70
ALABAMA,2000,06,361,-17
ALABAMA,2000,07,506,44
ALABAMA,2000,08,486,35
ALABAMA,2000,09,259,-30
ALABAMA,2000,10,84,-1
ALABAMA,2000,11,4,-7
ALABAMA,2000,12,0,-7
ALABAMA,2001,01,3,-8
ALABAMA,2001,02,14,6
ALABAMA,2001,03,9,-23
ALABAMA,2001,04,67,13
ALABAMA,2001,05,181,-16
ALABAMA,2001,06,313,-65
ALABAMA,2001,07,443,-19
ALABAMA,2001,08,408,-43
ALABAMA,2001,09,206,-83
ALABAMA,2001,10,36,-49
ALABAMA,2001,11,28,17
ALABAMA,2001,12,9,2
ALABAMA,2002,01,14,3
ALABAMA,2002,02,2,-6
ALABAMA,2002,03,19,-13
ALABAMA,2002,04,88,34
ALABAMA,2002,05,168,-29
ALABAMA,2002,06,355,-23
ALABAMA,2002,07,467,5
ALABAMA,2002,08,450,-1
ALABAMA,2002,09,356,67
ALABAMA,2002,10,132,47
ALABAMA,2002,11,2,-9
ALABAMA,2002,12,2,-5
ALABAMA,2003,01,2,-9
ALABAMA,2003,02,4,-4
ALABAMA,2003,03,33,1
ALABAMA,2003,04,49,-5
ALABAMA,2003,05,203,6
ALABAMA,2003,06,299,-79
ALABAMA,2003,07,408,-54
ALABAMA,2003,08,441,-10
ALABAMA,2003,09,238,-51
ALABAMA,2003,10,67,-18
ALABAMA,2003,11,24,13
ALABAMA,2003,12,1,-6
ALABAMA,2004,01,6,-5
ALABAMA,2004,02,2,-6
ALABAMA,2004,03,43,11
ALABAMA,2004,04,28,-26
ALABAMA,2004,05,241,44
ALABAMA,2004,06,340,-38
ALABAMA,2004,07,423,-39
ALABAMA,2004,08,336,-115
ALABAMA,2004,09,256,-33
ALABAMA,2004,10,147,62
ALABAMA,2004,11,22,11
ALABAMA,2004,12,1,-6
ALABAMA,2005,01,20,9
ALABAMA,2005,02,11,3
ALABAMA,2005,03,14,-18
ALABAMA,2005,04,27,-27
ALABAMA,2005,05,130,-67
ALABAMA,2005,06,337,-41
ALABAMA,2005,07,466,4
ALABAMA,2005,08,473,22
ALABAMA,2005,09,346,57
ALABAMA,2005,10,70,-15
ALABAMA,2005,11,13,2
ALABAMA,2005,12,1,-6
ALABAMA,2006,01,26,15
ALABAMA,2006,02,2,-6
ALABAMA,2006,03,26,-6
ALABAMA,2006,04,112,58
ALABAMA,2006,05,175,-22
ALABAMA,2006,06,374,-4
ALABAMA,2006,07,511,49
ALABAMA,2006,08,530,79
ALABAMA,2006,09,225,-64
ALABAMA,2006,10,49,-36
ALABAMA,2006,11,4,-7
ALABAMA,2006,12,7,0
ALABAMA,2007,01,13,2
ALABAMA,2007,02,2,-6
ALABAMA,2007,03,54,22
ALABAMA,2007,04,21,-33
ALABAMA,2007,05,201,4
ALABAMA,2007,06,405,27
ALABAMA,2007,07,425,-37
ALABAMA,2007,08,596,145
ALABAMA,2007,09,324,35
ALABAMA,2007,10,113,28
ALABAMA,2007,11,6,-5
ALABAMA,2007,12,13,6
ALABAMA,2008,01,5,-6
ALABAMA,2008,02,5,-3
ALABAMA,2008,03,20,-12
ALABAMA,2008,04,42,-12
ALABAMA,2008,05,170,-27
ALABAMA,2008,06,398,20
ALABAMA,2008,07,458,-4
ALABAMA,2008,08,406,-45
ALABAMA,2008,09,278,-11
ALABAMA,2008,10,51,-34
ALABAMA,2008,11,3,-8
ALABAMA,2008,12,8,1
ALABAMA,2009,01,9,-2
ALABAMA,2009,02,4,-4
ALABAMA,2009,03,31,-1
ALABAMA,2009,04,30,-24
ALABAMA,2009,05,197,0
ALABAMA,2009,06,416,38
ALABAMA,2009,07,391,-71
ALABAMA,2009,08,392,-59
ALABAMA,2009,09,288,-1
ALABAMA,2009,10,59,-26
ALABAMA,2009,11,5,-6
ALABAMA,2009,12,1,-6
ALABAMA,2010,01,2,-9
ALABAMA,2010,02,0,-8
ALABAMA,2010,03,9,-23
ALABAMA,2010,04,58,4
ALABAMA,2010,05,249,52
ALABAMA,2010,06,462,84
ALABAMA,2010,07,537,75
ALABAMA,2010,08,552,101
ALABAMA,2010,09,337,48
ALABAMA,2010,10,75,-10
ALABAMA,2010,11,12,1
ALABAMA,2010,12,0,-7
ALABAMA,2011,01,3,-8
ALABAMA,2011,02,6,-2
ALABAMA,2011,03,35,3
ALABAMA,2011,04,80,26
ALABAMA,2011,05,166,-31
ALABAMA,2011,06,470,92
ALABAMA,2011,07,510,48
ALABAMA,2011,08,506,55
ALABAMA,2011,09,208,-81
ALABAMA,2011,10,36,-49
ALABAMA,2011,11,11,0
ALABAMA,2011,12,6,-1
ALABAMA,2012,01,23,12
ALABAMA,2012,02,14,6
ALABAMA,2012,03,111,79
ALABAMA,2012,04,72,18
ALABAMA,2012,05,260,63
ALABAMA,2012,06,350,-28
ALABAMA,2012,07,512,50
ALABAMA,2012,08,398,-53
ALABAMA,2012,09,233,-56
ALABAMA,2012,10,51,-34
ALABAMA,2012,11,2,-9
ALABAMA,2012,12,11,4
ALABAMA,2013,01,22,11
ALABAMA,2013,02,4,-4
ALABAMA,2013,03,4,-28
ALABAMA,2013,04,35,-19
ALABAMA,2013,05,128,-69
ALABAMA,2013,06,377,-1
ALABAMA,2013,07,382,-80
ALABAMA,2013,08,386,-65
ALABAMA,2013,09,288,-1
ALABAMA,2013,10,86,1
ALABAMA,2013,11,3,-8
ALABAMA,2013,12,4,-3
ALABAMA,2014,01,1,-10
ALABAMA,2014,02,3,-5
ALABAMA,2014,03,11,-21
ALABAMA,2014,04,38,-16
ALABAMA,2014,05,172,-25
ALABAMA,2014,06,373,-5
ALABAMA,2014,07,377,-85
ALABAMA,2014,08,431,-20
ALABAMA,2014,09,325,36
ALABAMA,2014,10,89,4
ALABAMA,2014,11,1,-10
ALABAMA,2014,12,8,1
ALABAMA,2015,01,5,-6
ALABAMA,2015,02,0,-8
ALABAMA,2015,03,36,4
ALABAMA,2015,04,84,30
ALABAMA,2015,05,212,15
ALABAMA,2015,06,408,30
ALABAMA,2015,07,501,39
ALABAMA,2015,08,416,-35
ALABAMA,2015,09,272,-17
ALABAMA,2015,10,88,3
ALABAMA,2015,11,30,19
ALABAMA,2015,12,36,29
ALABAMA,2016,01,4,-7
ALABAMA,2016,02,6,-2
ALABAMA,2016,03,50,18
ALABAMA,2016,04,52,-2
ALABAMA,2016,05,174,-23
ALABAMA,2016,06,420,42
ALABAMA,2016,07,518,56
ALABAMA,2016,08,505,54
ALABAMA,2016,09,395,106
ALABAMA,2016,10,150,65
ALABAMA,2016,11,22,11
ALABAMA,2016,12,9,2
ALABAMA,2017,01,33,22
ALABAMA,2017,02,25,17
ALABAMA,2017,03,39,7
ALABAMA,2017,04,107,53
ALABAMA,2017,05,166,-31
ALABAMA,2017,06,315,-63
ALABAMA,2017,07,472,10
ALABAMA,2017,08,411,-40
ALABAMA,2017,09,241,-48
ALABAMA,2017,10,98,13
ALABAMA,2017,11,12,1
ALABAMA,2017,12,3,-4
ALABAMA,2018,01,2,-9
ALABAMA,2018,02,40,32
ALABAMA,2018,03,21,-11
ALABAMA,2018,04,17,-37
ALABAMA,2018,05,288,91
ALABAMA,2018,06,415,37
ALABAMA,2018,07,472,10
ALABAMA,2018,08,438,-13
ALABAMA,2018,09,418,129
ALABAMA,2018,10,127,42
ALABAMA,2018,11,2,-9
ALABAMA,2018,12,5,-2
ALABAMA,2019,01,11,0
ARIZONA,1996,01,4,1
ARIZONA,1996,02,22,11
ARIZONA,1996,03,37,-12
ARIZONA,1996,04,140,18
ARIZONA,1996,05,349,46
ARIZONA,1996,06,587,17
ARIZONA,1996,07,721,22
ARIZONA,1996,08,665,22
ARIZONA,1996,09,366,-110
ARIZONA,1996,10,157,-36
ARIZONA,1996,11,26,-6
ARIZONA,1996,12,0,0
ARIZONA,1997,01,0,-3
ARIZONA,1997,02,6,-5
ARIZONA,1997,03,74,25
ARIZONA,1997,04,92,-30
ARIZONA,1997,05,415,112
ARIZONA,1997,06,461,-109
ARIZONA,1997,07,649,-50
ARIZONA,1997,08,647,4
ARIZONA,1997,09,523,47
ARIZONA,1997,10,143,-50
ARIZONA,1997,11,23,-9
ARIZONA,1997,12,0,0
ARIZONA,1998,01,0,-3
ARIZONA,1998,02,0,-11
ARIZONA,1998,03,16,-33
ARIZONA,1998,04,41,-81
ARIZONA,1998,05,181,-122
ARIZONA,1998,06,402,-168
ARIZONA,1998,07,692,-7
ARIZONA,1998,08,677,34
ARIZONA,1998,09,477,1
ARIZONA,1998,10,144,-49
ARIZONA,1998,11,18,-14
ARIZONA,1998,12,0,0
ARIZONA,1999,01,4,1
ARIZONA,1999,02,12,1
ARIZONA,1999,03,37,-12
ARIZONA,1999,04,46,-76
ARIZONA,1999,05,251,-52
ARIZONA,1999,06,492,-78
ARIZONA,1999,07,599,-100
ARIZONA,1999,08,615,-28
ARIZONA,1999,09,460,-16
ARIZONA,1999,10,243,50
ARIZONA,1999,11,59,27
ARIZONA,1999,12,0,0
ARIZONA,2000,01,6,3
ARIZONA,2000,02,13,2
ARIZONA,2000,03,27,-22
ARIZONA,2000,04,164,42
ARIZONA,2000,05,401,98
ARIZONA,2000,06,570,0
ARIZONA,2000,07,700,1
ARIZONA,2000,08,635,-8
ARIZONA,2000,09,514,38
ARIZONA,2000,10,126,-67
ARIZONA,2000,11,0,-32
ARIZONA,2000,12,0,0
ARIZONA,2001,01,0,-3
ARIZONA,2001,02,4,-7
ARIZONA,2001,03,31,-18
ARIZONA,2001,04,93,-29
ARIZONA,2001,05,408,105
ARIZONA,2001,06,570,0
ARIZONA,2001,07,655,-44
ARIZONA,2001,08,636,-7
ARIZONA,2001,09,532,56
ARIZONA,2001,10,225,32
ARIZONA,2001,11,46,14
ARIZONA,2001,12,0,0
ARIZONA,2002,01,0,-3
ARIZONA,2002,02,9,-2
ARIZONA,2002,03,22,-27
ARIZONA,2002,04,165,43
ARIZONA,2002,05,276,-27
ARIZONA,2002,06,602,32
ARIZONA,2002,07,709,10
ARIZONA,2002,08,650,7
ARIZONA,2002,09,485,9
ARIZONA,2002,10,132,-61
ARIZONA,2002,11,31,-1
ARIZONA,2002,12,0,0
ARIZONA,2003,01,14,11
ARIZONA,2003,02,7,-4
ARIZONA,2003,03,24,-25
ARIZONA,2003,04,71,-51
ARIZONA,2003,05,314,11
ARIZONA,2003,06,525,-45
ARIZONA,2003,07,754,55
ARIZONA,2003,08,663,20
ARIZONA,2003,09,504,28
ARIZONA,2003,10,310,117
ARIZONA,2003,11,11,-21
ARIZONA,2003,12,0,0
ARIZONA,2004,01,0,-3
ARIZONA,2004,02,0,-11
ARIZONA,2004,03,114,65
ARIZONA,2004,04,110,-12
ARIZONA,2004,05,329,26
ARIZONA,2004,06,519,-51
ARIZONA,2004,07,660,-39
ARIZONA,2004,08,600,-43
ARIZONA,2004,09,432,-44
ARIZONA,2004,10,133,-60
ARIZONA,2004,11,7,-25
ARIZONA,2004,12,0,0
ARIZONA,2005,01,4,1
ARIZONA,2005,02,8,-3
ARIZONA,2005,03,19,-30
ARIZONA,2005,04,94,-28
ARIZONA,2005,05,313,10
ARIZONA,2005,06,503,-67
ARIZONA,2005,07,736,37
ARIZONA,2005,08,595,-48
ARIZONA,2005,09,470,-6
ARIZONA,2005,10,194,1
ARIZONA,2005,11,36,4
ARIZONA,2005,12,0,0
ARIZONA,2006,01,4,1
ARIZONA,2006,02,12,1
ARIZONA,2006,03,15,-34
ARIZONA,2006,04,108,-14
ARIZONA,2006,05,367,64
ARIZONA,2006,06,640,70
ARIZONA,2006,07,733,34
ARIZONA,2006,08,604,-39
ARIZONA,2006,09,374,-102
ARIZONA,2006,10,151,-42
ARIZONA,2006,11,39,7
ARIZONA,2006,12,0,0
ARIZONA,2007,01,0,-3
ARIZONA,2007,02,9,-2
ARIZONA,2007,03,65,16
ARIZONA,2007,04,119,-3
ARIZONA,2007,05,332,29
ARIZONA,2007,06,559,-11
ARIZONA,2007,07,703,4
ARIZONA,2007,08,682,39
ARIZONA,2007,09,481,5
ARIZONA,2007,10,197,4
ARIZONA,2007,11,65,33
ARIZONA,2007,12,0,0
ARIZONA,2008,01,0,-3
ARIZONA,2008,02,6,-5
ARIZONA,2008,03,38,-11
ARIZONA,2008,04,112,-10
ARIZONA,2008,05,208,-95
ARIZONA,2008,06,583,13
ARIZONA,2008,07,666,-33
ARIZONA,2008,08,629,-14
ARIZONA,2008,09,479,3
ARIZONA,2008,10,201,8
ARIZONA,2008,11,42,10
ARIZONA,2008,12,0,0
ARIZONA,2009,01,6,3
ARIZONA,2009,02,9,-2
ARIZONA,2009,03,46,-3
ARIZONA,2009,04,93,-29
ARIZONA,2009,05,401,98
ARIZONA,2009,06,453,-117
ARIZONA,2009,07,755,56
ARIZONA,2009,08,663,20
ARIZONA,2009,09,491,15
ARIZONA,2009,10,127,-66
ARIZONA,2009,11,42,10
ARIZONA,2009,12,0,0
ARIZONA,2010,01,4,1
ARIZONA,2010,02,6,-5
ARIZONA,2010,03,17,-32
ARIZONA,2010,04,76,-46
ARIZONA,2010,05,196,-107
ARIZONA,2010,06,518,-52
ARIZONA,2010,07,716,17
ARIZONA,2010,08,647,4
ARIZONA,2010,09,526,50
ARIZONA,2010,10,192,-1
ARIZONA,2010,11,12,-20
ARIZONA,2010,12,0,0
ARIZONA,2011,01,0,-3
ARIZONA,2011,02,0,-11
ARIZONA,2011,03,51,2
ARIZONA,2011,04,133,11
ARIZONA,2011,05,209,-94
ARIZONA,2011,06,521,-49
ARIZONA,2011,07,686,-13
ARIZONA,2011,08,747,104
ARIZONA,2011,09,515,39
ARIZONA,2011,10,214,21
ARIZONA,2011,11,15,-17
ARIZONA,2011,12,0,0
ARIZONA,2012,01,5,2
ARIZONA,2012,02,8,-3
ARIZONA,2012,03,31,-18
ARIZONA,2012,04,141,19
ARIZONA,2012,05,350,47
ARIZONA,2012,06,596,26
ARIZONA,2012,07,645,-54
ARIZONA,2012,08,680,37
ARIZONA,2012,09,465,-11
ARIZONA,2012,10,213,20
ARIZONA,2012,11,48,16
ARIZONA,2012,12,0,0
ARIZONA,2013,01,0,-3
ARIZONA,2013,02,0,-11
ARIZONA,2013,03,66,17
ARIZONA,2013,04,129,7
ARIZONA,2013,05,314,11
ARIZONA,2013,06,619,49
ARIZONA,2013,07,684,-15
ARIZONA,2013,08,631,-12
ARIZONA,2013,09,440,-36
ARIZONA,2013,10,118,-75
ARIZONA,2013,11,31,-1
ARIZONA,2013,12,0,0
ARIZONA,2014,01,8,5
ARIZONA,2014,02,22,11
ARIZONA,2014,03,61,12
ARIZONA,2014,04,131,9
ARIZONA,2014,05,305,2
ARIZONA,2014,06,583,13
ARIZONA,2014,07,692,-7
ARIZONA,2014,08,549,-94
ARIZONA,2014,09,469,-7
ARIZONA,2014,10,231,38
ARIZONA,2014,11,27,-5
ARIZONA,2014,12,0,0
ARIZONA,2015,01,4,1
ARIZONA,2015,02,32,21
ARIZONA,2015,03,90,41
ARIZONA,2015,04,112,-10
ARIZONA,2015,05,193,-110
ARIZONA,2015,06,600,30
ARIZONA,2015,07,631,-68
ARIZONA,2015,08,705,62
ARIZONA,2015,09,494,18
ARIZONA,2015,10,225,32
ARIZONA,2015,11,10,-22
ARIZONA,2015,12,0,0
ARIZONA,2016,01,0,-3
ARIZONA,2016,02,31,20
ARIZONA,2016,03,73,24
ARIZONA,2016,04,118,-4
ARIZONA,2016,05,236,-67
ARIZONA,2016,06,647,77
ARIZONA,2016,07,743,44
ARIZONA,2016,08,599,-44
ARIZONA,2016,09,409,-67
ARIZONA,2016,10,281,88
ARIZONA,2016,11,43,11
ARIZONA,2016,12,0,0
ARIZONA,2017,01,0,-3
ARIZONA,2017,02,16,5
ARIZONA,2017,03,92,43
ARIZONA,2017,04,144,22
ARIZONA,2017,05,282,-21
ARIZONA,2017,06,634,64
ARIZONA,2017,07,695,-4
ARIZONA,2017,08,642,-1
ARIZONA,2017,09,430,-46
ARIZONA,2017,10,271,78
ARIZONA,2017,11,92,60
ARIZONA,2017,12,4,4
ARIZONA,2018,01,13,10
ARIZONA,2018,02,9,-2
ARIZONA,2018,03,44,-5
ARIZONA,2018,04,196,74
ARIZONA,2018,05,326,23
ARIZONA,2018,06,581,11
ARIZONA,2018,07,716,17
ARIZONA,2018,08,659,16
ARIZONA,2018,09,543,67
ARIZONA,2018,10,127,-66
ARIZONA,2018,11,16,-16
ARIZONA,2018,12,0,0
ARIZONA,2019,01,0,-3
ARKANSAS,1996,01,0,-1
ARKANSAS,1996,02,0,-1
ARKANSAS,1996,03,1,-20
ARKANSAS,1996,04,14,-26
ARKANSAS,1996,05,226,67
ARKANSAS,1996,06,329,-35
ARKANSAS,1996,07,428,-44
ARKANSAS,1996,08,385,-75
ARKANSAS,1996,09,172,-79
ARKANSAS,1996,10,39,-13
ARKANSAS,1996,11,0,-4
ARKANSAS,1996,12,1,1
ARKANSAS,1997,01,0,-1
ARKANSAS,1997,02,1,0
ARKANSAS,1997,03,24,3
ARKANSAS,1997,04,6,-34
ARKANSAS,1997,05,90,-69
ARKANSAS,1997,06,271,-93
ARKANSAS,1997,07,497,25
ARKANSAS,1997,08,382,-78
ARKANSAS,1997,09,250,-1
ARKANSAS,1997,10,37,-15
ARKANSAS,1997,11,0,-4
ARKANSAS,1997,12,0,0
ARKANSAS,1998,01,1,0
ARKANSAS,1998,02,1,0
ARKANSAS,1998,03,7,-14
ARKANSAS,1998,04,21,-19
ARKANSAS,1998,05,241,82
ARKANSAS,1998,06,434,70
ARKANSAS,1998,07,582,110
ARKANSAS,1998,08,487,27
ARKANSAS,1998,09,382,131
ARKANSAS,1998,10,72,20
ARKANSAS,1998,11,6,2
ARKANSAS,1998,12,0,0
ARKANSAS,1999,01,1,0
ARKANSAS,1999,02,6,5
ARKANSAS,1999,03,6,-15
ARKANSAS,1999,04,55,15
ARKANSAS,1999,05,129,-30
ARKANSAS,1999,06,331,-33
ARKANSAS,1999,07,508,36
ARKANSAS,1999,08,497,37
ARKANSAS,1999,09,218,-33
ARKANSAS,1999,10,48,-4
ARKANSAS,1999,11,11,7
ARKANSAS,1999,12,0,0
ARKANSAS,2000,01,0,-1
ARKANSAS,2000,02,6,5
ARKANSAS,2000,03,24,3
ARKANSAS,2000,04,18,-22
ARKANSAS,2000,05,188,29
ARKANSAS,2000,06,290,-74
ARKANSAS,2000,07,457,-15
ARKANSAS,2000,08,579,119
ARKANSAS,2000,09,267,16
ARKANSAS,2000,10,72,20
ARKANSAS,2000,11,0,-4
ARKANSAS,2000,12,0,0
ARKANSAS,2001,01,0,-1
ARKANSAS,2001,02,1,0
ARKANSAS,2001,03,4,-17
ARKANSAS,2001,04,83,43
ARKANSAS,2001,05,168,9
ARKANSAS,2001,06,309,-55
ARKANSAS,2001,07,521,49
ARKANSAS,2001,08,484,24
ARKANSAS,2001,09,192,-59
ARKANSAS,2001,10,25,-27
ARKANSAS,2001,11,9,5
ARKANSAS,2001,12,0,0
ARKANSAS,2002,01,1,0
ARKANSAS,2002,02,0,-1
ARKANSAS,2002,03,5,-16
ARKANSAS,2002,04,57,17
ARKANSAS,2002,05,107,-52
ARKANSAS,2002,06,339,-25
ARKANSAS,2002,07,473,1
ARKANSAS,2002,08,453,-7
ARKANSAS,2002,09,301,50
ARKANSAS,2002,10,32,-20
ARKANSAS,2002,11,0,-4
ARKANSAS,2002,12,0,0
ARKANSAS,2003,01,0,-1
ARKANSAS,2003,02,0,-1
ARKANSAS,2003,03,12,-9
ARKANSAS,2003,04,37,-3
ARKANSAS,2003,05,160,1
ARKANSAS,2003,06,235,-129
ARKANSAS,2003,07,457,-15
ARKANSAS,2003,08,483,23
ARKANSAS,2003,09,175,-76
ARKANSAS,2003,10,58,6
ARKANSAS,2003,11,7,3
ARKANSAS,2003,12,0,0
ARKANSAS,2004,01,0,-1
ARKANSAS,2004,02,0,-1
ARKANSAS,2004,03,30,9
ARKANSAS,2004,04,28,-12
ARKANSAS,2004,05,187,28
ARKANSAS,2004,06,313,-51
ARKANSAS,2004,07,387,-85
ARKANSAS,2004,08,319,-141
ARKANSAS,2004,09,243,-8
ARKANSAS,2004,10,97,45
ARKANSAS,2004,11,6,2
ARKANSAS,2004,12,0,0
ARKANSAS,2005,01,2,1
ARKANSAS,2005,02,3,2
ARKANSAS,2005,03,10,-11
ARKANSAS,2005,04,29,-11
ARKANSAS,2005,05,115,-44
ARKANSAS,2005,06,366,2
ARKANSAS,2005,07,464,-8
ARKANSAS,2005,08,526,66
ARKANSAS,2005,09,354,103
ARKANSAS,2005,10,45,-7
ARKANSAS,2005,11,6,2
ARKANSAS,2005,12,0,0
ARKANSAS,2006,01,9,8
ARKANSAS,2006,02,0,-1
ARKANSAS,2006,03,18,-3
ARKANSAS,2006,04,99,59
ARKANSAS,2006,05,169,10
ARKANSAS,2006,06,330,-34
ARKANSAS,2006,07,501,29
ARKANSAS,2006,08,524,64
ARKANSAS,2006,09,163,-88
ARKANSAS,2006,10,30,-22
ARKANSAS,2006,11,1,-3
ARKANSAS,2006,12,0,0
ARKANSAS,2007,01,0,-1
ARKANSAS,2007,02,0,-1
ARKANSAS,2007,03,58,37
ARKANSAS,2007,04,9,-31
ARKANSAS,2007,05,193,34
ARKANSAS,2007,06,351,-13
ARKANSAS,2007,07,386,-86
ARKANSAS,2007,08,576,116
ARKANSAS,2007,09,273,22
ARKANSAS,2007,10,72,20
ARKANSAS,2007,11,2,-2
ARKANSAS,2007,12,0,0
ARKANSAS,2008,01,0,-1
ARKANSAS,2008,02,0,-1
ARKANSAS,2008,03,13,-8
ARKANSAS,2008,04,16,-24
ARKANSAS,2008,05,127,-32
ARKANSAS,2008,06,367,3
ARKANSAS,2008,07,470,-2
ARKANSAS,2008,08,386,-74
ARKANSAS,2008,09,196,-55
ARKANSAS,2008,10,29,-23
ARKANSAS,2008,11,0,-4
ARKANSAS,2008,12,0,0
ARKANSAS,2009,01,0,-1
ARKANSAS,2009,02,2,1
ARKANSAS,2009,03,16,-5
ARKANSAS,2009,04,20,-20
ARKANSAS,2009,05,115,-44
ARKANSAS,2009,06,402,38
ARKANSAS,2009,07,386,-86
ARKANSAS,2009,08,352,-108
ARKANSAS,2009,09,199,-52
ARKANSAS,2009,10,12,-40
ARKANSAS,2009,11,7,3
ARKANSAS,2009,12,0,0
ARKANSAS,2010,01,0,-1
ARKANSAS,2010,02,0,-1
ARKANSAS,2010,03,10,-11
ARKANSAS,2010,04,55,15
ARKANSAS,2010,05,197,38
ARKANSAS,2010,06,485,121
ARKANSAS,2010,07,518,46
ARKANSAS,2010,08,580,120
ARKANSAS,2010,09,286,35
ARKANSAS,2010,10,57,5
ARKANSAS,2010,11,1,-3
ARKANSAS,2010,12,0,0
ARKANSAS,2011,01,0,-1
ARKANSAS,2011,02,0,-1
ARKANSAS,2011,03,15,-6
ARKANSAS,2011,04,56,16
ARKANSAS,2011,05,111,-48
ARKANSAS,2011,06,491,127
ARKANSAS,2011,07,611,139
ARKANSAS,2011,08,551,91
ARKANSAS,2011,09,174,-77
ARKANSAS,2011,10,34,-18
ARKANSAS,2011,11,5,1
ARKANSAS,2011,12,0,0
ARKANSAS,2012,01,2,1
ARKANSAS,2012,02,1,0
ARKANSAS,2012,03,88,67
ARKANSAS,2012,04,68,28
ARKANSAS,2012,05,254,95
ARKANSAS,2012,06,387,23
ARKANSAS,2012,07,600,128
ARKANSAS,2012,08,470,10
ARKANSAS,2012,09,259,8
ARKANSAS,2012,10,25,-27
ARKANSAS,2012,11,0,-4
ARKANSAS,2012,12,1,1
ARKANSAS,2013,01,0,-1
ARKANSAS,2013,02,0,-1
ARKANSAS,2013,03,3,-18
ARKANSAS,2013,04,14,-26
ARKANSAS,2013,05,111,-48
ARKANSAS,2013,06,355,-9
ARKANSAS,2013,07,400,-72
ARKANSAS,2013,08,407,-53
ARKANSAS,2013,09,307,56
ARKANSAS,2013,10,42,-10
ARKANSAS,2013,11,0,-4
ARKANSAS,2013,12,0,0
ARKANSAS,2014,01,0,-1
ARKANSAS,2014,02,0,-1
ARKANSAS,2014,03,1,-20
ARKANSAS,2014,04,20,-20
ARKANSAS,2014,05,129,-30
ARKANSAS,2014,06,339,-25
ARKANSAS,2014,07,316,-156
ARKANSAS,2014,08,419,-41
ARKANSAS,2014,09,233,-18
ARKANSAS,2014,10,68,16
ARKANSAS,2014,11,0,-4
ARKANSAS,2014,12,0,0
ARKANSAS,2015,01,0,-1
ARKANSAS,2015,02,0,-1
ARKANSAS,2015,03,9,-12
ARKANSAS,2015,04,44,4
ARKANSAS,2015,05,152,-7
ARKANSAS,2015,06,385,21
ARKANSAS,2015,07,517,45
ARKANSAS,2015,08,397,-63
ARKANSAS,2015,09,293,42
ARKANSAS,2015,10,66,14
ARKANSAS,2015,11,7,3
ARKANSAS,2015,12,7,7
ARKANSAS,2016,01,0,-1
ARKANSAS,2016,02,1,0
ARKANSAS,2016,03,27,6
ARKANSAS,2016,04,44,4
ARKANSAS,2016,05,107,-52
ARKANSAS,2016,06,410,46
ARKANSAS,2016,07,520,48
ARKANSAS,2016,08,454,-6
ARKANSAS,2016,09,316,65
ARKANSAS,2016,10,121,69
ARKANSAS,2016,11,11,7
ARKANSAS,2016,12,0,0
ARKANSAS,2017,01,2,1
ARKANSAS,2017,02,13,12
ARKANSAS,2017,03,28,7
ARKANSAS,2017,04,64,24
ARKANSAS,2017,05,120,-39
ARKANSAS,2017,06,307,-57
ARKANSAS,2017,07,476,4
ARKANSAS,2017,08,361,-99
ARKANSAS,2017,09,251,0
ARKANSAS,2017,10,59,7
ARKANSAS,2017,11,6,2
ARKANSAS,2017,12,0,0
ARKANSAS,2018,01,0,-1
ARKANSAS,2018,02,1,0
ARKANSAS,2018,03,20,-1
ARKANSAS,2018,04,4,-36
ARKANSAS,2018,05,303,144
ARKANSAS,2018,06,446,82
ARKANSAS,2018,07,514,42
ARKANSAS,2018,08,418,-42
ARKANSAS,2018,09,296,45
ARKANSAS,2018,10,53,1
ARKANSAS,2018,11,0,-4
